Username,Text
takarebear,@sara21_marie I’ll support you as long as you make good decisions. I won’t be the fake friend who watches you set y… https://t.co/kaw6DUaaoo
thenyamare,RT @PatsonDzamara: We travelled to Masasa in Chikomba today for a rally. Thank u Mash East. All my life I v never driven on a bad road as t…
baba_garikai,RT @PatsonDzamara: We travelled to Masasa in Chikomba today for a rally. Thank u Mash East. All my life I v never driven on a bad road as t…
imnotokaye_,RT @8bitfiction: perhaps i should just cry about every single mishap and mistake and failure in my life. i say i dont care and i say ive le…
BinteSahara,Since no one wants to hear me rant I'm just gonna rant on twt I'm so done with my family istg I blocked out their n… https://t.co/att5CdHodw
takundachemene,RT @PatsonDzamara: We travelled to Masasa in Chikomba today for a rally. Thank u Mash East. All my life I v never driven on a bad road as t…
HurrayChristian,"RT @LM_Riviere: ‘All life has meaning. We forget this at our own peril.’

Rye spared the priest a raised brow. ‘Nah, it just is. Zillions o…"
connorfranta,"i feel lonely even when
somebody’s close to me"
pokejungle,"Check out Hello Pika, a robotic toy Pikachu that responds to voice commands. Coming this August to Japan! Maybe it'… https://t.co/GHarcOmBd5"
kaysarahsera,"Friends, if you are considering a big move to NYC, please let me say: I love it very much &amp; think it’s the best cit… https://t.co/jFOWNix5hJ"
lavenderweather,"RT @connorfranta: i feel lonely even when
somebody’s close to me"
nicholasram91,"RT @sianlee_: “i feel sorry for you because you have a man during vacation”
honey just because your relationships are sad, lonely, unsatisf…"
esmailzada,"@KTHopkins Katie is the prime example of lonely sad women, I actually feel sorry for her"
lua_teamaaa,"RT @connorfranta: i feel lonely even when
somebody’s close to me"
left_alo0ne,"RT @connorfranta: i feel lonely even when
somebody’s close to me"
Rossa_Roslan,"RT @connorfranta: i feel lonely even when
somebody’s close to me"
SensIsStrength,"@missclairabella @LivliAutie @tangotwitches I'm in a relatively rural area now, feel lonely tho (no partner/family,… https://t.co/ExNcUN6auc"
Sacreblin,"RT @connorfranta: i feel lonely even when
somebody’s close to me"
JuanAlbornoz_,"RT @connorfranta: i feel lonely even when
somebody’s close to me"
niall_hxran_1d,"RT @connorfranta: i feel lonely even when
somebody’s close to me"
zayrahluvv,RT @potchijisoo: im not sure but i think joshua’s talking about how to use a clear file 😂 he said to talk to it when you feel lonely [cue o…
E_ARMY95,"Now I feel really lonely and sad 😥 wanna someone to hold me tight to huge me to till me that I'll be okey..
But there no one .. no one 😢"
dantelfer,"I #WearOrange because my brother was in the military police, and in 2001 when it was discovered that he had fashion… https://t.co/cPY3n27H5t"
SLAYLONIE,I’ve been getting help for bipolar disorder since my first suicide attempt when I was 12 but somehow since I’m open… https://t.co/1LAMxSj6g5
olusola_yoonus,"RT @dr_ashwitt: 1 in 5 doctors have depression 
1 in 4 have thought about suicide 
1 in 50 have tried 

I’m wearing #CrazySocks4Docs becaus…"
emmacarlisle123,"RT @Bryz1: 500 days away from my suicide attempt, 500 days into talking openly about my depression 500 days clean of alcoholism 500 days in…"
Alex_Cleary88,"RT @Bryz1: 500 days away from my suicide attempt, 500 days into talking openly about my depression 500 days clean of alcoholism 500 days in…"
sommydono,"RT @dr_ashwitt: 1 in 5 doctors have depression 
1 in 4 have thought about suicide 
1 in 50 have tried 

I’m wearing #CrazySocks4Docs becaus…"
kehaulyons,RT @Legalala: @LadyLawyerDiary This past week was the 7 year anniversary of my suicide attempt. I'm alive today because friends of mine got…
PICollard,"RT @TimMcKenna5: Cycling saved my life. In 2012, I was in a very dark place. Years of chaos &amp; confusion had led to a suicide attempt &amp; a bi…"
CIROMA_,"RT @dr_ashwitt: 1 in 5 doctors have depression 
1 in 4 have thought about suicide 
1 in 50 have tried 

I’m wearing #CrazySocks4Docs becaus…"
sophiedoz,"He didn’t follow any of my suggestion. Which, ok, no biggie.

Then (TW suicide attempt) he called me because she se… https://t.co/C1cwJy5MU6"
FrankBrunoFound,"RT @Bryz1: 500 days away from my suicide attempt, 500 days into talking openly about my depression 500 days clean of alcoholism 500 days in…"
blaireastvilage,"RT @Bryz1: 500 days away from my suicide attempt, 500 days into talking openly about my depression 500 days clean of alcoholism 500 days in…"
TheGiant12,"RT @Bryz1: 500 days away from my suicide attempt, 500 days into talking openly about my depression 500 days clean of alcoholism 500 days in…"
em_macleannnn,RT @Bryz1: Now 48 I have battled depression &amp; alcoholism &amp; life &amp; the suicide of my only son &amp; my attempt of suicide when I thought my life…
NorthRoadJane,"RT @TimMcKenna5: Cycling saved my life. In 2012, I was in a very dark place. Years of chaos &amp; confusion had led to a suicide attempt &amp; a bi…"
