lable,text
0,i found the beef https://t.co/hKxlI8xx3w
-6,"11.) we're also ""weird"", we say things differently, we act differently, we experience things differently. people will call the cops on us during psychotic episodes. it's hard to be open about it."
-7,11.) telling employers that you have schizophrenia when applying for a job usually doesn't end well. people are afraid of us and they'll do anything to avoid us.
-7,"11.) because schizophrenia is so stigmatized, it's hard not to be thrown into a mental institution. i've resisted it twice. the thought of being put in a hospital is terrifying to me. i'm afraid to be honest to any medical professional because of how easy it is to be thrown in 1"
-3,"10.) i have only been diagnosed with depression, anxiety, and schizophrenia and most people with schizophrenia have depression and anxiety as well. it's not uncommon to have psychotic depression or psychotic BPD! psycosis goes hand and hand with lots mental illnesses"
-4,9.) schizophrenic representation in the media is usually fear mongering horror characters. or villains. we need positive role models for people with schizophrenia! i guarantee you that most of us need it to remind ourselves that we aren't the monsters that we think we are.
0,@coffee_comatose exactly!
2,"watch in awe as i use all my spoons up with one activity!
*takes a shower*"
-8,"@CrabbyDarth no its
death"
-6,i'm so tired i'm bout ta https://t.co/laTCNLRpzz
0,@CrabbyDarth slurp slurp
0,@CrabbyDarth Exactly
0,@ChronicHeart713 bad...
0,@GhaferR_  https://t.co/0NEE39dxJh
1,woter.... good......
-1,@ChronicHeart713 SIIIIICK GIRL
0,@CrabbyDarth absolutely
0,this is like if vinny vinesauce got to describe an animal https://t.co/lIVqUufygx
-2,lame
2,"me: *yawns*
@coffee_comatose : go to sleep
me: nnneeeh
coot: do i gotta break out the LUGI?"
0,@coffee_comatose  https://t.co/fQZ09ZpoSO
0,@coffee_comatose no
1,bucky barnes is my husband
3,@ChronicHeart713 @sugarb0i we can play again soon!! just probably not until next week x.x
4,@kittuazoldyck @ChronicHeart713 @coffee_comatose @sugarb0i OH THAT WAS A SELFCEST JOKE
-2,and i work an extra hour than normal https://t.co/Kzwgf23fqn
0,i have work at 7:30am tomorrow https://t.co/UXtCrD8KDg
0,@coffee_comatose @ChronicHeart713 @sugarb0i WHAT IS HAPPENING
1,I JUST SAW THIS I'M LOSING IT AHDHDJF https://t.co/syuyASDG7S
2,@beksdraws i believe in you beks!! take your time!!
3,my coworker: MY WIG IS IN SPACE RIGHT NOW
9,@SylphOfRainbow THANK YOU SO MUCH SIS ILY â™¡â™¡â™¡â™¡â™¡
8,oh an bump this from last night! (thanks for all the rts and favorites!!!!!)
0,"improvement?
(july 18 2017 - may 10 2018) https://t.co/KnzIcCO5JF"
2,friends forever! #ninjago https://t.co/IsxduT7wJi
-1,@kittuazoldyck we were desperately trying to watch ninjago
-2,@coffee_comatose SAAAAME i was so defeated
0,@coffee_comatose THATS A MOOD
0,"lloyd is the three g's
green
gay
garmadon"
7,look at my sister's invader zim oc... i'm so proud https://t.co/xukhpOyvp8
7,"my sister: wait wait i wanna make a joke about this picture
my sister: this is the face i make when my parents come home and i.... pooped my pants https://t.co/3Dk8r4OA9x"
5,it's a redraw of this! to show the new designs :3 https://t.co/B90QBoYgwV
3,wip redraw of thing https://t.co/xNIUSQ3g7X
-2,bump!
3,me on my AP lit test last year *writes abt warrior cats* https://t.co/m3xF2lpIxD
7,@Elechemy you are an angel???
-2,"8.) many people believe that schizophrenic people have multiple personalities, which simply is untrue. schizophrenia is so far from D.I.D. it's weird how that myth was spread around. nonetheless, it is flat out untrue"
0,@ChronicHeart713 mati
0,they sure are https://t.co/Nbl5ek17Or
0,about me about me about me sbout m https://t.co/7xlbnPdCqI
0,@sugarb0i @kittuazoldyck @leafduds you heard her
2,"@leafduds @sugarb0i WELL YOU DON'T SEE HIM IRL, HE IS NOT A TWUNK, HE'S A TWINKY TWINK GAY BOY"
-3,@sugarb0i @leafduds how can you lie to him like that
-5,@sugarb0i @leafduds UNACCEPTABLE
5,she's a model https://t.co/Q5BkZsvcuS
0,@ChronicHeart713 @sugarb0i @kittuazoldyck IMMA FIRIN MY LAZER BLAAAA
-2,"who else rtd this, show yourself"
0,internalized twinkphobia
0,FIYAH #ninjago https://t.co/EHoIzIGHvm
0,who is she https://t.co/NpFXxadtYJ
2,@beksdraws i is good too!!!
2,"Webbed Bouce.
Webbed Bouce."
1,@beksdraws how is you day :3c
4,@beksdraws hola!
0,https://t.co/PUjdHaqvoq
7,LOOK AT THIS AMAZING COMMISSION I GOT FROM @beksdraws OF MY BOY XENON!!! go commission her https://t.co/b2L7xwTSDZ
7,"my coworker  oh i love trollhubters have you seen it?
me internally: don't say you know the writers are from ninjago. don't say you know the writers are from ninjago. don't say you know the writers are from ninjago. 
me: NEVER HEARD OF IT"
8,@ChronicHeart713 I SPIRITUALLY CONNECT WITH THIS PERSON
5,@leafduds @ChronicHeart713 well she had an accent so i assume she's not from america
4,"@ChronicHeart713 i was sitting outside my college class after taking my final and she was like ""you're so young! are you elementary school age? you're like 14 right?"""
-3,"if the destinys bounty does not come back in season 9, i'mma riot"
6,@pkspsapphire BIG AGREE
0,1:17!
2,a girl just stopped me and asked me if i was an elementary school student
-6,"7.) we don't deserve to be feared, we are just like you! if anything, we're more likely to hurt ourselves rather than anyone else. if someone you know tells you they have schizophrenia, accept them, and know that they trust you enough to know."
-3,"7.) some of us hear voices that tell us to hurt people, but those people deserve respect too! i'm so scared of hurting my friends bc of the stigma it's unreal. i have so many nightmares where i kill my friends and i wake up afraid and in tears."
-2,7.) even a lot of people in the mental health field think we're dangerous! i told my therapist that i heard voices and she immediately tried to put me in a mental institution. we are not inherently more dangerous than any other person.
-4,7.) stigma. everyone and their mom knows the stigma surrounding schizophrenia. people think we're crazy unfeeling monsters who follow what the voices tell us. people think we're murderers or horrible people due to horror movies portraying us.
6,"@beksdraws OH I LOVE THEM, I WANT TO KNOW ALL ABT THEM"
0,https://t.co/EZdp2wx47X
-8,"6.) i also have SUUUUCH a shit memory, like it's crazy. i forget what i'm saying as soon as it leaves my mouth."
0,@Bobbutterbutt O: !!!!
-5,"6.) in general, thinking is hard and understanding is hard! i ask a lot of questions just because my brain doesn't make connections like it should! i describe it as my brain has multiple trains of thought that switch tracks all the time"
-9,"6.) i totally read the 6th prompt wrong but that's ironically a perfect segway to explaining cognitive symptoms! these include slow thinking, difficulty understanding, poor concentration and memory, and difficulty!"
0,6.) positive symptoms are usually treatable by antipsychotics! but negative symptoms require therapy and a lot of practice.
0,"6.) we also experience echolalia which is the repetitive behavior of spoken words. basically sometimes i just say the same thing over and over again! sorry if it's annoying, but it's completely involuntary!"
-2,6.) people with schizophrenia often sit or walk in different ways. i usually sit in positions that many people say is weird or funny but feel natural to me. these movements maybe be repetitive or restless but they are all involuntary.
-6,"6.) often times, people with schizophrenia just stop all together. i do this often. i sit and stare at something and nothing is going on in my brain. it's like dissociation but i can't move or talk and i'm often in a weird position. this is called catanoia."
-3,"6.) positive symptoms! these include hallucinations, delusions, disorganized speech/thinking, disorganized behavior, catatonic movement and behaviors. since i've already talked abt hallucinations, delusions, and speech, i'll talk about the other ones!"
10,@Outpost_Alpha01 THIS IS A VERY GOOD DONUT
7,@CardboardPizzas very fun fandom (most of the time but that's just how it is with fandoms)
6,@CardboardPizzas NO IT WOULD NOT THANK YOU
2,"@GhaferR_ SJDHFKDV I'M TALKING ABOUT LEGOS, COLE"
10,"this is my funniest tumblr post, prove me wrong https://t.co/gN1b7uC2rN"
0,"If I can replicate todayâ€™s pump before walking on stage, no one stands a chance."
6,@Hvgito An adult. Lol.
7,I think Belen is going to love what I have planned for her birthday. _Ÿ˜ˆ
10,"My girlfriend is a godsend. Literally been there with my thru everything, took my to my doctors appointments, helped push me to seek help. And instead of running, she stayed with me when she didnâ€™t have to. Love her to death."
0,Ainâ€™t that the truth. _Ÿ˜‚ https://t.co/tm5mr49yHv
-7,A few weeks ago I was diagnosed with Bipolar II syndrome. Iâ€™ve made such great progress being in control of my emotions and manic episodes thanks to my doctor. Literally have never had such a clear mind my entire life. Itâ€™s been fucking amazing.
-9,Iâ€™m gonna hate everytime Harden does his little step into the shot to pull the foul.
-3,Bruh why the Pelicans so dirty tho?
2,@Peter_Tim3 Blu ray or UHD disc. You wonâ€™t regret it. Mine looks amazing in ultra HD.
-4,@crystalcasta Those are sick. How much are they?
6,Fuck. Infinity War is a must see.
1,"Imagine if that was made real, the things people who lost the ability to walk or was born without the ability would be infinite. They could see what it feels like to walk or rehabbing an injury would be safer and faster."
2,"After watching Shazier walk out, I think Iâ€™ve figured out what my lifeâ€™s work will consist of. This may sound stupid, but Stark created a walking robotic apparatus for Rhodes at the end of Civil War."
4,"Iâ€™ve done 3 shows. Each one not doing well, thought I took them seriously but in reality, I did not. This time, I went balls to the wall, and its all coming together."
9,Looking forward to moving and going back to school.
-2,@FLOSSTRADUMBASS It just gets worse from there bro.
-3,"I feel like me and @CuyoRolf gonna cry while watching Infinity War. 10 years in the making man. 10 years, thatâ€™s like going to school and then graduating to leave for college."
5,"If yâ€™all got time, watch Collateral Beauty starting Will Smith. If you donâ€™t got time, make time. You wonâ€™t regret it."
0,âù_ï¸è https://t.co/CIVh8pHLwn
-3,These ab cramps will be the death of me.
0,"@LDayHimself Hell yeah, miss yah ass, Iâ€™m going down there in June to finalize the spot."
2,@LDayHimself Ayeeee! Iâ€™m moving to Long Beach in July!
0,@LDayHimself You coming home?!
0,@breancaaaa @kristniks _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚
-3,@breancaaaa @kristniks Of course it was your shit...
-7,"It annoys me when I see people at sporting events like basketball or football games wearing dress shirts or sport coats. Especially when they wear the free shirt over the dress shirt. Like bruhhh, just take it off!"
10,Belen just surprised me with tickets to Kendrickâ€™s Championship Tour! What did I do to deserve so an amazing woman?! Fuck man. I love her so much.
-3,"When I see people say â€œI need a trainer, hit me up.â€ù Nah, thatâ€™s your first mistake. You need help? You seek help. No trainer wants to train someone who is too lazy to get up and do something as simple as asking."
-2,@RSherman_25 @LeVeonBell Blue burst does melt but not every player knows how to use correctly.
2,"Honestly, baseball brawls are so much more satisfying than those pussy basketball fights. Lol."
-1,@breancaaaa We out!
-5,"Dieting and prep sucks, but the fact that at this point, 11 weeks out and I look just about the same the day of my last show excites the fuck out of me."
8,17th day straight lifting and doing cardio fasted. Taking this prep 1000% more seriously. I want a sword.
6,"Bigger. Better. Stronger. Donâ€™t get caught sleeping. My injury was only a minor setback. June 30th, the masterpiece shall be revealed."
0,@AshyRightankleJ I think they should be coming out with a black one soon.
0,@AshyRightankleJ Glock 19X!
2,@_ambroskiii This year is just insane. So many moves all over the league.
-2,"My PTs and doctors at Rehab call me Rich, like Iâ€™ve been here for so long already, itâ€™s too late to correct them. I just go with it now. Lol."
0,_Ÿ˜__Ÿ˜__Ÿ˜_  @NBA @celtics https://t.co/1bQR07z5Or
7,"@FLOSSTRADUMBASS @boombahng You are mistaken sir, she actually does like you."
0,@boombahng @FLOSSTRADUMBASS Guess itâ€™s only a Jultina and Tomez trip. :/
0,@boombahng @FLOSSTRADUMBASS Tfti
0,"These refs need to stop being so soft. Ball hit the Drays shoulder, he didnâ€™t hit it himself, and give him a tech for saying it hit his shoulder? BS call red. @NBA"
-3,"In the jungle there are monkeys and gorillas. Monkeys are small and agile, gorillas are massive and strong as fuck. Youâ€™re a fucking gorilla so stop jumping around like a monkey and you wonâ€™t get injured. - Uncle Rob _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚"
-5,NBA refs are soft as fuck. Like all teams are suffering from refs acting like a bunch of bitches.
0,@Hvgito Never said a time. All I said they tweeted it would release tonight and minutes later after halftime it released.
0,@Hvgito  https://t.co/WAocczi5Fz
0,@Hvgito Dude I saw the tweet. But didnâ€™t realize minutes later they would release. _Ÿ˜•
3,That Eli and OBJ dancing commercial was fire! lol.
0,Took a fat L this morning trying to get the Cortez Kennyâ€™s. :/
0,@DELOGANG_Rolf ?
0,"My favorite wrestler growing up, Goldberg, is on The Flash! _Ÿ˜__Ÿ˜__Ÿ˜_"
-3,@FLOSSTRADUMBASS All fucking Caseyâ€™s fault. Lol.
0,"Having to put my move on hold, pushing back school, pushing back my competitions, risking not being able to compete for a Pro Card, itâ€™s killing me. But itâ€™s all in Godâ€™s hands right now."
0,âù_ï¸èâù_ï¸èâù_ï¸è https://t.co/e5LzVBjw5p
-8,What. A. Fucking. Game.
0,@FLOSSTRADUMBASS Only Alejandro can come out tonight. Lol.
-10,This injury is depressing as fuck.
-3,"My girlfriend is such a blessing. Without her, these past few days wouldâ€™ve been hell."
0,How my 2018 has started: https://t.co/zMynMNktzf
3,"Everyone over here talking bout the earthquake, Iâ€™m just like â€œis my jar of Nutella okay?â€ù"
3,@DELOGANG_Rolf Bitch. You havenâ€™t even gained any weight from what I see.
-1,@LDayHimself That shit takes you to a whole new world cuzo. Lol.
2,Power ranked 15th. And ranked 14th offense in the league at 5-10... the future is looking quite bright for the 49ers.
0,Pray for me. _Ÿ˜‚ lol. https://t.co/VBoj7Bmsas
-2,"Itâ€™s a scary thought, knowing that our QB was the backup for a legit GOAT. Let that sink in, he learned from the best. So itâ€™s not surprising how well heâ€™s leading the 49ers in such a short time."
0,Got 2 really tickets for the 49ers game tomorrow for sale. In the 100 sections. Any takers?
0,Return of the Dick @FLOSSTRADUMBASS @itzchriston
-1,Letâ€™s go Miami! Throw up the U!
-6,"Let me tell you, last weekend in LA, I felt so out of place. It was for sure a huge culture shock for me. Iâ€™m used to a diverse atmosphere. Out there, I felt like I had eyes coming from everywhere. But I canâ€™t wait to move out there."
-7,"Let me tell you this; if you have haters, you are doing something right. Donâ€™t get mad. Embrace the haters. They are mad cause they donâ€™t got it like you. They want to be you. They want what you have. A smile is a bigger slap to them than anything."
0,@aaamaray @jsteeena _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚
-10,@FLOSSTRADUMBASS look at my last tweet and tell me you feel my pain bro.
-8,Why is CoD WWII so fucking difficult?! Like so complicated just to upgrade weapons and shit. Bring back Modern Warfare style of play!
0,@aaamaray @jsteeena Nah thatâ€™s the whole HoS fam. Lol. We all have had to force a shower on yo ass.
-2,Ayyyyy my hair is almost long enough to slick back again. Why am I so juiced for this?!
-10,"People hate me cause they think Iâ€™m an asshole. Iâ€™m not an asshole, I just tell it how it is. No sugarcoating from me."
9,Apartment shopping in LA was a success. This move is coming together nicely.
0,Iï¸è cut the grass and caught a snake.
0,"Some cool people you should follow 
@Zalgaloo 
@Robboy_Robbo 
@xuriousuwu 
@Z_Leo_B 
@woah_its_walrus 
@Enderfoo__ 
@Chriiisify 
@WifeWithAPenis"
-8,Thereâ€™s no point in complaining about black ops 4 at this point. Of course itâ€™s going to be shit. Dumb 12 year olds will buy it and play it for 3 weeks and just turn on Madden. Wash rinse repeat. Nothing will change that
3,@Enderfoo__ @RioVEVO You think youâ€™re funny donâ€™t ya
0,@farsidevirtualx Why is grandma is the back yard?
-2,@farsidevirtualx Sav Iâ€™m crying what is this https://t.co/fecXO2XzxE
0,@farsidevirtualx  https://t.co/tTa3q8i2KS
-6,@farsidevirtualx Bitch go shit
-4,Another tragic celebrity death. Substance abuse needs to stop now https://t.co/PsSx6NhjEs
0,"@braxxiwnl @IlayIsNotOk I tried being normal once....
Worst 5 second of my life _Ÿ_ª_Ÿ_ª_Ÿ_ª"
0,@IlayIsNotOk @stoicism Thatâ€™s what Iâ€™m talking about stupid MAN!
0,@IlayIsNotOk  https://t.co/i9TTKqtLFl
-6,@stoicism @IlayIsNotOk Seems like something that would get boring very quickly
-4,@IlayIsNotOk I fuck dogs so yeah I looked into it
-3,@IlayIsNotOk Legit word gets around so yeah. Itâ€™s a crime
-5,@IlayIsNotOk I mean those things cost like 1000 bucks so Iâ€™d be pissed too
0,@VaporSynth_ Half of music we hear today wouldnâ€™t be around if it werenâ€™t for jazz rt
0,@piloht If by toes you mean Newport cigarettes then yeah
0,@piloht @gensnarl No memes for you
4,It is a rule that every time a post of yours gets over 1000 likes you must reply with your Snapchat or a GoFundMe link
0,@YourMateDazzy At least credit the artist smh _Ÿ˜’
0,@piloht @gensnarl Buy me a pack of Newportâ€™s and a pizza and Iâ€™ll think about it
0,@gensnarl Yeah ik. Forgot this was public twitter
-2,@piloht @gensnarl A magician never reveals his secrets
6,@gensnarl @piloht Show for the love of god
-4,@notannah Not nice
0,@KutizTweets _Ÿ˜__Ÿ˜__Ÿ˜_
3,What if we accidental kissed _Ÿ˜__Ÿ˜__Ÿ˜_
0,https://t.co/1UuM2AEtU9
0,@MagIsFag  https://t.co/xrf0YV1buJ
0,@MagIsFag Ok
-3,@MagIsFag You fucked up your own joke
-2,@MagIsFag No
0,@MagIsFag @SlushyCup @farsidevirtualx @raysipe @Dustpacito @cy1ox How much fecal matter is in this diaper
-1,@MagIsFag Itâ€™s three questions retard
5,@SlushyCup @farsidevirtualx @raysipe @Dustpacito @cy1ox Wow hahah dude https://t.co/AsTC6BRndO
-3,@SlushyCup @farsidevirtualx Iâ€™m such a loser
4,Good morning https://t.co/asxXGubxHV
0,@gensnarl Where are you finding these
1,@ShadowTheFury Take em to the movies
5,@VaporSynth_ Lol
10,@MagIsFag LMAOOOOOOOOOO I HATE HOW HARD I LAUGHED AT THIS _Ÿ˜‚_Ÿ˜‚
-9,@Robboy_Robbo Fuck off
0,@stoicism Xgheists
0,@WifeWithAPenis Zester v. Allstarbacon wwe showdown
5,@WifeWithAPenis Lol
0,@JakesTopics Did I say I was an exception
0,@sspiderwaifu @SlushyCup But you arenâ€™t on twitter
0,@SlushyCup Everything
-9,Everyone on twitter is either gay or depressed
0,https://t.co/vaVCsNG8Zr
-3,@ShadowTheFury My brother is antivax
0,Free Booby Shmurda https://t.co/jlCbZoVbEW
0,@HotMusicTakes__ @RioVEVO you gonna take this
2,@ShadowNinjaMSN @bawsswab_ @SlushyCup Weâ€™re talking Amy Schumer joke stealing
6,@ShadowNinjaMSN @bawsswab_ @SlushyCup Heâ€™s a comedy legend so of corse Ethan stole from him
0,Who even still watches h3h3 anymore?
0,@SlushyCup Sufjan Stevens and tame imapla
0,https://t.co/CXnFjSDUr4
0,@theneedledrop Meme culture is a very important part when it comes to the music market. I guarantee vaporwave and death grips wouldnâ€™t be where they are now it if were for people memeing them.
-3,@ItsAkiio @eggsadozen @ArtsyRizzo @SpaceyIsLazy @xurious Itâ€™s a tradition to post this video on every bad tweet you know this akiio
0,@ItsAkiio @eggsadozen @ArtsyRizzo @SpaceyIsLazy @xurious  https://t.co/K73ArbR2qL
0,@MagIsFag  https://t.co/rJhhLJynnH
10,@ExtremeBlitz_ Happy free art day
-2,@woah_its_walrus Lil xan is just the poster child of not giving a shit about their art
-6,@woah_its_walrus I actually cant decide who I donâ€™t like more
0,@IlayIsNotOk Yep
-3,Who is the worst rapper out there? Reply below
-8,Good morning I have an AP Lang test . I hope I fail and ruin my financial future https://t.co/0o25UGOyo6
0,Goodnight https://t.co/rugodTkCTS
1,@EuphieEuphoria Good
0,Listens to Mac Demarco once... https://t.co/S1jP2FfoyT
0,@EuphieEuphoria Ok
0,@ImNyski Ok
-8,Making fun off fat people at the gym is top comedy and isnâ€™t low hanging fruit at alll https://t.co/lmEZlfz347
0,@AltPuppy https://t.co/Vcjb8wBl2z
-8,OK BUT THE NEW DEATH GRIPS TRACK IS SO GOD DAMN GOOD HOLY SHIT FUCK SKIIMASK
3,@GraphicsHappy We need to talk more slut
4,The new skiimask record was pretty bad. Disappointing concitering heâ€™s one of the more talented people to come from the â€œSoundCloudâ€ù community
6,@GraphicsHappy Lol
-1,@IlayIsNotOk @VaporSynth_ @ShadowTheFury Antman was at its best when it had fuck all to do with the avengers and even then it was a bit dull
-4,@IlayIsNotOk @VaporSynth_ @ShadowTheFury Suicide squad did the same thing and that movie is worse than aids
-2,@IlayIsNotOk @VaporSynth_ @ShadowTheFury And we got a really dull heist movie instead
-1,@IlayIsNotOk Loser
0,@Pixelbyte__ I use An asus laptop
0,@BEGELTHROWERUWO Shut up
8,Having a good time at grandmas https://t.co/OfrSYrqEhq
0,@TheOpenRift No
1,@vappy_134 That works
0,"Stream won't happen tonight. Meds have worn off and my shoulders and hips are in AGONY. Please instead watch @SaintSpartan03 (Mod Ross) while he streams some pubg and help him get to affiliate _Ÿ’™
https://t.co/4zRzyTKyWV"
0,Watch LoliLove with me on Twitch! https://t.co/RMlZiZyv5C
0,@TheNICKname1812 @RahulKohli13 Shame it's ending after season 5 tho
0,@TheNICKname1812 @RahulKohli13 So I hear. Literally everyone raving about it.
0,@TheNICKname1812 @RahulKohli13 I'm still waiting for the end of the season for my binge watch. _Ÿ˜_
0,Ask me anything! https://t.co/nUyvJLBeET
9,@KatherineOxx Proud of you!!
0,I can't figure out if it's sunny and cold or sunny and warm when there's no wind. _Ÿ_”
0,@LouJM_ Oi
0,@LouJM_ Oops
0,"_Ÿç„LIVE NOW_Ÿç„ 
Playing: @FortniteGame 
https://t.co/guRoB2iYdF
#twitchaffiliate #Fortnite #cosplay"
6,@_JacobTheBear_ @imandywelsh @itsdehprey @AdamGCB @inannamute Sounds like true love
0,@_JacobTheBear_ @imandywelsh @itsdehprey @AdamGCB @inannamute #speedyselfie
2,"@inannamute @_JacobTheBear_ @AdamGCB Plus it doesn't seem to be as commonly done in England as it does in America. But hey, I am a newbie in this area. Thank you! _Ÿ’™"
-1,@GriizzlyB 2. First one is too busy
-2,@inannamute @_JacobTheBear_ @AdamGCB This thread _Ÿ‘Œ honestly I've represented a few companies through my cosplay in the past and either they never seemed to work out very professionally or I'd end up chasing for info from someone who's 'disappeared'
-1,@_JacobTheBear_ @AdamGCB Ahh I guess that's true. Coming from a cosplay community into the more gaming focused streaming community etc it's difficult to gauge how it all goes down. I personally would still feel weird going to a company asking for a sponsor (but then I am new _Ÿ˜‚)
0,"@_JacobTheBear_ @AdamGCB I've been told to contact people about sponsorships but feel if I were to do that it comes across entitled and rude? If a company wants to sponsor a 'content creator', they'll find them on the radar and then decide themselves without prejudgements about their character. 
Imo tho."
-3,"Every day I find it more and more difficult to talk to those I care for. Not because I don't care, but because I'm tired, I'm drained, I'm stressed.
Just fyi for those I used to talk to everyday and now weeks/months pass without a word. I still love you _Ÿ’™"
1,@Wolfie_2000 Proud of you!!
0,"""Omg, are you French"" - boss, ex-boss, colleagues.
Okay now I see it... https://t.co/6kDc0enF12"
0,@Aerox_Esports @GTOmegaRacing @_HarriRose @louisejulie_
0,Ask me anything! https://t.co/nUyvJLBeET
0,@CoryPeaTV @Sinixphe Sainsbury's sometimes do them. Or best bet is grow your own or a country market/garden centre
2,@CoryPeaTV @Sinixphe Some still are. They're the best
0,"Would you be interested in 7x5 cosplay prints in return of 1 Kofi payment? 
(Works out as Â£3 per print)
I have a lot in stock and no guest appearances this year."
0,This is so important. https://t.co/xJ63vNIcEu
0,"I finished the #GodofWar main story last night (a lot quicker than anticipated) so the rest of the week I'll be playing some post game and then a new game next week? What should it be?
#DetroitBecomeHuman is on my list but isn't out for 10 more days."
0,@MadHatterJimmy _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚
-2,@MadHatterJimmy I agree. Mental health isn't spoken about enough
-2,@xmako_eyesx Yeah brand new glasses. Hella freaked me out
0,"_Ÿç„LIVE NOW_Ÿç„
Playing: #GodOfWar 
https://t.co/guRoB2iYdF
#twitch #livestream #SupportSmallStreamers"
0,"Laptop just updating then I'll be live with #godofwar 
https://t.co/guRoB2iYdF"
0,I'm over half way through God of War already so may end up on a new game before the end of the month _Ÿ™ˆ
-2,@papaya_happy Thank you! I had a mild panic thinking my eyesight was screwed _Ÿ˜‚
1,@haylez_b You sound like the best teacher
0,@_HarriRose Ahhh okiee
0,"@iamCJHeap They're brand new, my first pair so from what I've been told I just need to get used to them"
0,@StephanieJayneK https://t.co/fcktcZ0xCz
0,@StephanieJayneK The website has high Res cosplay reference pics. Lemme try finding it
1,@CoryPeaTV Ahh good I'm not crazy then _Ÿ˜‚
-1,@thorvertonian Not sure tbh. I put my glasses back on when it went too weird
-2,@louisejulie_ It's so weird. They're literally not even that strong.
-3,"*Glasses wearers*
I think my glasses are just for computer and reading use, they're not very strong as I just have a weakness. But every time I take my glasses off, it feels kinda uncomfortable/fuzzy and difficult to focus. 
Is this normal?"
1,@GriizzlyB @XGamerEnergy All for you? Cause that'd last forever
1,@GriizzlyB @XGamerEnergy Dude how much _Ÿ˜‚_Ÿ˜‚_Ÿ˜‚_Ÿ™ˆ
-10,"Although I have never been diagnosed, I have suffered with depression and anxiety symptoms due to my Fibromyalgia.
My partner has schizophrenia and ADD, and lots of my friends suffer from depression.
I will always have my door open if you just need someone to listen _Ÿ’™"
4,"It's #MentalHealthAwarenessWeek and I want to remind people that no matter what your mental health issue, there will ALWAYS be someone willing to help. A loved one, a professional, or even a stranger. 
You are never alone.
You are important. 
#breakthestigma"
1,@PolyPropsLtd Thank you :)
0,@PolyPropsLtd Do you have a contact email for this? I'm helping someone set up a cosplay oriented event on the south coast.
0,@marsbarbarbar Oh no
-5,"Pain meds make me absolutely shattered...
And I'm still in a lot of pain _Ÿ‘Œ"
0,@Jackader @LouJM_  https://t.co/lKgJyt7lbT
0,"_Ÿç„LIVE NOW_Ÿç„
Playing: God of War
https://t.co/guRoB2iYdF
#twitch #GodofWar #livestreaming #SupportSmallStreamers https://t.co/a7odIE6Fnw"
